              Procedure           Image            Address        Calls Instructions
                  .fini       libm.so.6       7fa3deb8ad0c            1            3
                  .text       libm.so.6       7fa3deb19600            1           38
               .plt.got       libm.so.6       7fa3deb195f0            0            1
                  _init       libm.so.6       7fa3deb19428            1            6
_dl_mcount_wrapper_check       libc.so.6       7fa3def60530          128          512
               _dl_addr       libc.so.6       7fa3def601d0            1        56470
               wctype_l       libc.so.6       7fa3def28460           10         1026
                 __sbrk       libc.so.6       7fa3def19e80            2           49
                    brk       libc.so.6       7fa3def19e10            2           24
                  write       libc.so.6       7fa3def142b0            1            7
                   read       libc.so.6       7fa3def14250            1            7
                   open       libc.so.6       7fa3def14030            1            7
               __fxstat       libc.so.6       7fa3def13c20            1           10
                  _Exit       libc.so.6       7fa3deee9710            1            8
                   fork       libc.so.6       7fa3deee9340            1           71
                waitpid       libc.so.6       7fa3deee9060            1           11
                  wctob       libc.so.6       7fa3deec9c10          128          768
                  btowc       libc.so.6       7fa3deec9a90          256         6400
                 memchr       libc.so.6       7fa3deeab860            1           42
                 rindex       libc.so.6       7fa3deeaa400            1           54
                 strlen       libc.so.6       7fa3deea8720           73         1204
     __default_morecore       libc.so.6       7fa3deea48c0            2           14
                  cfree       libc.so.6       7fa3deea14f0            1           26
          __libc_malloc       libc.so.6       7fa3deea1130            9          380
     _IO_default_xsputn       libc.so.6       7fa3dee98630            1          314
         _IO_doallocbuf       libc.so.6       7fa3dee98560            1           18
               _IO_setb       libc.so.6       7fa3dee98500            1           18
             __overflow       libc.so.6       7fa3dee98220            1            6
            _IO_link_in       libc.so.6       7fa3dee97cb0            2           85
      _IO_file_overflow       libc.so.6       7fa3dee97730           20          684
           _IO_do_write       libc.so.6       7fa3dee97390            2           54
         _IO_file_fopen       libc.so.6       7fa3dee96b30            1           52
          _IO_file_open       libc.so.6       7fa3dee96a40            1           34
          _IO_file_init       libc.so.6       7fa3dee96810            1           13
        _IO_file_xsputn       libc.so.6       7fa3dee961e0            2          282
         _IO_file_write       libc.so.6       7fa3dee95b70            1           37
          _IO_file_stat       libc.so.6       7fa3dee95b60            1            4
        _IO_file_setbuf       libc.so.6       7fa3dee95430            1           15
          _IO_file_sync       libc.so.6       7fa3dee95370            8          104
                   putc       libc.so.6       7fa3dee93450            1           39
        fileno_unlocked       libc.so.6       7fa3dee92ad0            1            6
                 fwrite       libc.so.6       7fa3dee8b6e0            2          125
                  fopen       libc.so.6       7fa3dee8ad70            1            2
              _IO_fgets       libc.so.6       7fa3dee8aad0            0            4
             _IO_fflush       libc.so.6       7fa3dee8a7a0            7          280
    _IO_file_doallocate       libc.so.6       7fa3dee8a180            1           48
                 system       libc.so.6       7fa3dee62390            1            3
       __call_tls_dtors       libc.so.6       7fa3dee575c0            1           11
         __cxa_finalize       libc.so.6       7fa3dee572d0            3          376
           __cxa_atexit       libc.so.6       7fa3dee57280           10          220
                   exit       libc.so.6       7fa3dee57030            1            4
            sigprocmask       libc.so.6       7fa3dee52720            2           14
            __sigaction       libc.so.6       7fa3dee526f0            4           16
                _setjmp       libc.so.6       7fa3dee52250            1            2
            __sigsetjmp       libc.so.6       7fa3dee521b0            1           28
           __ctype_init       libc.so.6       7fa3dee4b150            1           16
              uselocale       libc.so.6       7fa3dee4a8b0            2           42
            __newlocale       libc.so.6       7fa3dee49b80            1           37
      __libc_start_main       libc.so.6       7fa3dee3d740            1           56
                  _init       libc.so.6       7fa3dee3d5a0            1          100
                  .text       libc.so.6       7fa3dee3c8b0            0          163
               .plt.got       libc.so.6       7fa3dee3c8a0            2            2
_dl_find_dso_for_object@plt       libc.so.6       7fa3dee3c850            1            3
                   .plt       libc.so.6       7fa3dee3c7c0            1            2
                  .fini   libgcc_s.so.1       7fa3df1f9d20            1            3
   __cpu_indicator_init   libgcc_s.so.1       7fa3df1e9eb0            1           61
                  .text   libgcc_s.so.1       7fa3df1e9b60            0          104
               .plt.got   libgcc_s.so.1       7fa3df1e9b50            0            1
                  _init   libgcc_s.so.1       7fa3df1e9848            1            6
                  .fini  libstdc++.so.6       7fa3df5bde3c            1            3
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7fa3df57eb60            4           84
_ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7fa3df57eb10            4           84
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale  libstdc++.so.6       7fa3df57e9d0            4           84
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7fa3df57d410            4           76
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7fa3df57d3c0            4           76
_ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale  libstdc++.so.6       7fa3df57bc00            4           76
  _ZNSt8messagesIwEC2Em  libstdc++.so.6       7fa3df57b550            1           19
_ZNSt11__timepunctIwEC2EPSt17__timepunct_cacheIwEm  libstdc++.so.6       7fa3df57ae60            1           22
