              Procedure           Image            Address        Calls Instructions
  __libc_thread_freeres       libc.so.6       7fe6f225f120            1           28
__libc_thread_freeres_fn       libc.so.6       7fe6f225f030            1            6
    __libc_dl_error_tsd       libc.so.6       7fe6f222dd60            1            3
               _dl_addr       libc.so.6       7fe6f222d1d0            1        56470
      __register_atfork       libc.so.6       7fe6f21ff210            1           52
    __libc_pthread_init       libc.so.6       7fe6f21ff1b0            1          393
                __clone       libc.so.6       7fe6f21f13b0            1           27
              __madvise       libc.so.6       7fe6f21eb800            1            5
               mprotect       libc.so.6       7fe6f21eb770            1            5
                 mmap64       libc.so.6       7fe6f21eb680            1           33
            getpagesize       libc.so.6       7fe6f21e73d0            2           10
                 __sbrk       libc.so.6       7fe6f21e6e80            2           49
                    brk       libc.so.6       7fe6f21e6e10            2           24
            getrlimit64       libc.so.6       7fe6f21e6960            1            5
                  write       libc.so.6       7fe6f21e12b0           32          472
               __fxstat       libc.so.6       7fe6f21e0c20            1           10
                  _Exit       libc.so.6       7fe6f21b6710            1            8
            __nanosleep       libc.so.6       7fe6f21b62e0           20          300
                  sleep       libc.so.6       7fe6f21b6230           20          380
              strchrnul       libc.so.6       7fe6f2180760           30         1080
                  bzero       libc.so.6       7fe6f2179200            0           44
                 rindex       libc.so.6       7fe6f2177400            1           54
                 strlen       libc.so.6       7fe6f2175720           22          712
     __default_morecore       libc.so.6       7fe6f21718c0            2           14
          __libc_calloc       libc.so.6       7fe6f216ed10            1           86
                  cfree       libc.so.6       7fe6f216e4f0            1           17
          __libc_malloc       libc.so.6       7fe6f216e130            1           12
     _IO_default_xsputn       libc.so.6       7fe6f2165630            1          234
         _IO_doallocbuf       libc.so.6       7fe6f2165560            1           18
               _IO_setb       libc.so.6       7fe6f2165500            1           18
             __overflow       libc.so.6       7fe6f2165220           22          132
      _IO_file_overflow       libc.so.6       7fe6f2164730           46         1579
           _IO_do_write       libc.so.6       7fe6f2164390           33         1604
        _IO_file_xsputn       libc.so.6       7fe6f21631e0           62         7792
         _IO_file_write       libc.so.6       7fe6f2162b70           32         1184
          _IO_file_stat       libc.so.6       7fe6f2162b60            1            4
        _IO_file_setbuf       libc.so.6       7fe6f2162430            1           15
          _IO_file_sync       libc.so.6       7fe6f2162370            1           13
               _IO_puts       libc.so.6       7fe6f2159690           22         1405
    _IO_file_doallocate       libc.so.6       7fe6f2157180            1           48
             _IO_printf       libc.so.6       7fe6f213f800           20          420
           _IO_vfprintf       libc.so.6       7fe6f2137170           20         4620
       __call_tls_dtors       libc.so.6       7fe6f21245c0            2           22
         __cxa_finalize       libc.so.6       7fe6f21242d0            1           46
           __cxa_atexit       libc.so.6       7fe6f2124280            1           22
                   exit       libc.so.6       7fe6f2124030            1            4
                _setjmp       libc.so.6       7fe6f211f250            2            4
            __sigsetjmp       libc.so.6       7fe6f211f1b0            2           56
           __ctype_init       libc.so.6       7fe6f2118150            2           32
      __libc_start_main       libc.so.6       7fe6f210a740            1           56
                  _init       libc.so.6       7fe6f210a5a0            1          100
                  .text       libc.so.6       7fe6f21098b0            0          163
               .plt.got       libc.so.6       7fe6f21098a0            1            2
_dl_find_dso_for_object@plt       libc.so.6       7fe6f2109850            1            3
                   .plt       libc.so.6       7fe6f21097c0            1            2
                  _fini libpthread.so.0       7fe6f250cad4            1            3
           elision_init libpthread.so.0       7fe6f250c7e0            1            8
       __libc_sigaction libpthread.so.0       7fe6f250b3a0            2          124
__pthread_disable_asynccancel libpthread.so.0       7fe6f250a1c0            1           12
__pthread_enable_asynccancel libpthread.so.0       7fe6f250a160            1           11
_pthread_cleanup_pop_restore libpthread.so.0       7fe6f2509e50           20          160
_pthread_cleanup_push_defer libpthread.so.0       7fe6f2509de0           20          280
   _pthread_cleanup_pop libpthread.so.0       7fe6f2509db0            1            5
  _pthread_cleanup_push libpthread.so.0       7fe6f2509d90            1            6
   pthread_mutex_unlock libpthread.so.0       7fe6f25054c0            2           56
     pthread_mutex_lock libpthread.so.0       7fe6f2503d40            2           72
           pthread_join libpthread.so.0       7fe6f25028d0            1           68
         pthread_create libpthread.so.0       7fe6f2501990            1          240
           start_thread libpthread.so.0       7fe6f25015f0            1           84
             __free_tcb libpthread.so.0       7fe6f2501400            1           46
          create_thread libpthread.so.0       7fe6f25000e0            1           48
__pthread_initialize_minimal libpthread.so.0       7fe6f24ffd00            1          160
            frame_dummy libpthread.so.0       7fe6f24ffb00            1            4
  __do_global_dtors_aux libpthread.so.0       7fe6f24ffac0            1           12
     register_tm_clones libpthread.so.0       7fe6f24ffa70            1           13
   deregister_tm_clones libpthread.so.0       7fe6f24ffa30            1            9
               .plt.got libpthread.so.0       7fe6f24ffa10            1            2
